Riesgos	acp_cov.x...1.	acp_cov.x...2.	acp_cov.x...3.	acp_cov.x...29.	acp_cov.x...30.	Nivel
88.82813944	-270.7873397	-35.78136093	29.68085403	-2.03095951	3.3662711	Alto
90.85269112	-284.6981241	-31.5287898	34.15762694	-1.383323072	-3.387507356	Alto
92.13176692	-292.619159	-28.41737142	36.08308024	-2.739950569	-2.874286265	Alto
91.59195002	-290.0602069	-33.47195605	39.27608053	0.411700569	1.721325327	Alto
89.54263808	-276.316588	-33.04833616	37.37636874	1.091999422	2.606654685	Alto
89.16165714	-273.9720564	-34.33234789	33.19965942	0.571811018	0.252017128	Alto
92.49448021	-294.8239735	-32.80223564	38.76343549	-1.399972847	-1.253457928	Alto
91.57275497	-288.965199	-33.88146138	35.41498011	3.254103036	-1.538145423	Alto
90.45452445	-281.7733467	-32.0906288	36.35382384	0.532938098	-2.220283167	Alto
89.64981293	-275.4287537	-37.39558208	30.81666562	0.111619742	0.90427498	Alto
89.48689834	-273.8715318	-37.86436034	31.84258367	-2.792605145	3.917942914	Alto
90.19107851	-280.4052691	-31.03340063	31.14950118	0.390228325	-1.659667333	Alto
89.6779636	-275.8748919	-34.64810373	31.80282157	-1.932643193	2.804321169	Alto
90.28645677	-281.117258	-31.49118222	29.90297606	-1.536230128	2.349888489	Alto
90.21427797	-279.9171565	-34.63945556	36.54899464	-2.57133868	1.578847405	Alto
89.69278134	-276.7709128	-36.45559747	35.1966105	-0.08184783	2.957376604	Alto
91.58988995	-287.6606228	-35.46773325	40.88428325	2.114778233	0.541031571	Alto
90.08203104	-278.1122499	-32.98922584	36.55944122	-4.067668821	1.982151854	Alto
90.94923519	-284.3998195	-30.12304957	37.40408909	-2.402673404	-3.841035624	Alto
88.74206188	-270.3965414	-33.96433119	33.8735144	-1.911835829	2.687589504	Alto
90.84004164	-283.5282891	-31.4551348	36.47362654	-0.619503858	1.745361101	Alto
90.14537807	-279.4310916	-31.43786039	30.23528995	-0.681972951	1.33001811	Alto
90.13252799	-278.1088179	-34.44652321	35.57422308	-0.782822209	2.490249446	Alto
90.19562185	-278.2259517	-33.3697438	30.41420378	-1.641401258	-1.044986541	Alto
92.14243662	-289.9437303	-34.20808501	39.12569035	-1.616301294	-0.721726333	Alto
90.86992169	-285.0575189	-33.02185278	43.10897269	0.201424003	3.421614681	Alto
90.25456238	-280.721334	-32.46926341	31.35987769	2.459796416	0.857321631	Alto
90.73244237	-282.2983148	-31.48312523	41.58587087	-1.144677042	-1.627089763	Alto
90.63604604	-283.2329527	-29.56482324	34.76052868	-1.670113596	0.926593063	Alto
90.63045955	-282.9676428	-35.50369966	29.69490652	1.967540377	0.614400656	Alto
91.95385431	-291.5209143	-33.94312852	42.32829673	1.010732763	1.301146162	Alto
87.91128034	-265.125177	-36.30914785	27.35366688	-0.403603126	-0.68538655	Alto
90.79823509	-284.7554177	-33.09819266	36.96193006	2.389286401	-1.651706116	Alto
91.4289344	-287.637828	-32.80964517	36.52315946	-2.226073884	1.503358491	Alto
91.34140538	-286.6175522	-35.52214279	30.95537222	1.618477901	-1.839270658	Alto
90.92418627	-283.9778207	-33.81756319	30.96192427	-0.610972949	2.504061128	Alto
89.20832424	-274.943456	-30.90755225	32.61677753	0.342470663	-0.40466143	Alto
90.21063105	-278.8587364	-35.08779582	33.94248319	-3.863105605	0.615844169	Alto
91.71604427	-289.544185	-33.68704715	38.16179419	0.107590194	0.250779013	Alto
89.8797158	-278.5484732	-31.54925458	33.97809687	2.797848159	-2.244231988	Alto
89.45025367	-275.2547258	-31.85513585	31.94508668	-3.023912895	-0.799850432	Alto
90.62491243	-283.4730572	-34.1789583	30.22554803	0.807485564	3.910672897	Alto
91.01377396	-285.3931799	-29.05130015	37.20570496	1.316168484	0.208813307	Alto
91.15809303	-284.7540012	-35.14895603	40.16917165	0.126630811	-1.869283109	Alto
88.96451877	-270.3497216	-36.90303413	29.82260675	0.10112683	-2.156345783	Alto
91.2173565	-285.7023511	-33.79540184	35.70643761	1.429194953	1.532549115	Alto
90.26449441	-279.3487537	-35.5222092	36.00802409	-1.473721964	2.597116004	Alto
91.72531838	-289.8180381	-32.34820619	31.50380584	0.78214513	-3.253560992	Alto
91.48021819	-289.7950304	-26.84161291	41.90607942	2.730613553	2.558940737	Alto
89.36720468	-272.8838533	-38.49004441	24.01577964	2.151233339	-3.162368375	Alto
91.07174871	-285.9528367	-31.12211526	36.85401735	0.695627103	4.223897383	Alto
91.25663866	-286.0936826	-33.53122164	33.64210656	-0.038440476	0.520681473	Alto
91.43418734	-287.3170755	-28.95443838	26.80743826	0.185057041	0.049457057	Alto
90.165182	-280.0838425	-30.59358699	33.97364482	2.259641282	-0.659631901	Alto
89.84969564	-276.4734963	-33.05302476	32.48926093	0.72211673	-1.049546217	Alto
90.13046673	-279.372113	-31.52766397	31.92675321	3.344797049	-0.478643523	Alto
91.10665119	-285.0463478	-31.32050313	33.79898992	1.960057409	-2.649026781	Alto
90.38488835	-279.6101496	-40.22362805	34.62845999	-0.951392762	0.224865643	Alto
91.94459273	-290.2441248	-33.75024721	44.5292277	0.005204546	-4.153673016	Alto
90.80260084	-283.0213786	-33.58869078	34.51653503	-2.283734042	1.678639146	Alto
90.83617867	-284.5507203	-35.37513066	37.33199484	-1.57470468	1.751556199	Alto
90.29617492	-280.0694546	-36.32773003	26.58172444	0.121552185	-2.968140315	Alto
89.67014298	-277.5423562	-35.57816448	29.08764768	1.701012522	1.357501227	Alto
89.32600666	-273.691439	-36.62333802	28.92485678	0.513798766	-1.232375631	Alto
91.27646662	-285.2381158	-31.37679854	34.9620871	-0.785037918	-3.460305832	Alto
90.78225321	-283.8091595	-32.98028942	31.01702413	1.091288756	-2.33069051	Alto
91.48065886	-288.0673614	-32.87693629	39.54458341	2.312296544	-3.733658852	Alto
91.24988375	-285.3812972	-30.60031099	35.91761382	0.245172679	-3.618023044	Alto
90.18517805	-279.1866366	-33.81258056	38.84302535	0.470758945	-3.351434385	Alto
90.98634549	-284.1841584	-28.73001251	28.10540509	-0.210534921	-1.176800235	Alto
