Src,aux,Dest,Weight
Agente15768,1,Agente22555,2
Agente18195,1,Agente3558,1
Agente21553,1,Agente22543,1
Agente24377,1,Agente14629,2
Agente10601,1,Agente22069,1
Agente26799,1,Agente30351,2
Agente25272,1,Agente21269,1
Agente27198,1,Agente24494,1
Agente18356,1,Agente24828,1
Agente24042,1,Agente23580,2
Agente10842,1,Agente26645,2
Agente19537,1,Agente17278,1
Agente23944,1,Agente17700,9
Agente29418,1,Agente22838,1
Agente6510,1,Agente13326,1
Agente24130,1,Agente1237,1
Agente9874,1,Agente24158,1
Agente17416,1,Agente16193,2
Agente18356,1,Agente4023,1
Agente23298,1,Agente13823,1
Agente27625,1,Agente26267,1
Agente23880,1,Agente26657,1
Agente9764,1,Agente25983,1
Agente13556,1,Agente2820,1
Agente20819,1,Agente10653,1
Agente19552,1,Agente12535,1
Agente6098,1,Agente21662,9
Agente18356,1,Agente18030,1
Agente10410,1,Agente28926,1
Agente24505,1,Agente14922,1
Agente18700,1,Agente24095,1
Agente21053,1,Agente30621,1
Agente19291,1,Agente23886,1
Agente1736,1,Agente6510,2
Agente13877,1,Agente11166,1
Agente24427,1,Agente17445,3
Agente28788,1,Agente17445,1
Agente19250,1,Agente30292,1
Agente18356,1,Agente11389,1
Agente24555,1,Agente26579,1
Agente18434,1,Agente8556,2
Agente21185,1,Agente14093,4
Agente23867,1,Agente17238,1
Agente7851,1,Agente6006,1
Agente23620,1,Agente6567,1
Agente21041,1,Agente4826,1
Agente20728,1,Agente17278,2
Agente13586,1,Agente23293,1
Agente20675,1,Agente18356,1
Agente24297,1,Agente21783,1
Agente10898,1,Agente967,1
Agente14506,1,Agente30621,1
Agente24432,1,Agente10678,1
Agente29041,1,Agente13653,1
Agente21124,1,Agente14630,5
Agente20736,1,Agente26543,2
Agente28097,1,Agente17718,1
Agente5822,1,Agente12606,1
Agente25252,1,Agente15086,1
Agente25957,1,Agente17445,1
Agente18804,1,Agente6006,1
Agente11915,1,Agente11348,1
Agente26543,1,Agente23311,1
Agente18548,1,Agente23623,1
Agente24427,1,Agente16558,5
Agente20093,1,Agente24095,2
Agente23944,1,Agente26799,2
Agente30292,1,Agente29054,5
